Time,Open,High,Low,Last,Change,%Chg,Volume
12/01/2021,127.2033,127.3805,126.8009,127.2704,0.0182,+0.01%,18861613
11/30/2021,127.4147,127.8929,126.9748,127.2522,0.2774,+0.22%,30191185
11/29/2021,126.3723,127.0704,126.2862,126.9748,0.0861,+0.07%,22200623
11/26/2021,126.2576,126.9461,126.0567,126.8887,1.0233,+0.81%,15056494
11/24/2021,125.2438,125.8846,125.1004,125.8654,0.6025,+0.48%,14659779
11/23/2021,125.8654,125.9467,125.2629,125.2629,-0.899,-0.71%,11488769
11/22/2021,126.7644,126.9605,126.1093,126.1619,-1.1094,-0.87%,14372747
11/19/2021,127.0991,127.3956,127.0896,127.2713,0.4782,+0.38%,18489952
11/18/2021,126.4201,126.8983,126.4153,126.7931,0.2869,+0.23%,14728996
11/17/2021,125.8559,126.5445,125.7507,126.5062,0.5069,+0.40%,15204657
11/16/2021,126.1332,126.5731,125.9325,125.9993,-0.2104,-0.17%,19563309
11/15/2021,127.0513,127.0991,126.1954,126.2097,-0.9659,-0.76%,12917218
11/12/2021,127.4817,127.5964,126.9987,127.1756,-0.1339,-0.11%,12440093
11/11/2021,127.7112,127.8451,127.2426,127.3095,-0.3634,-0.28%,6450453
11/10/2021,128.7919,128.811,127.4291,127.6729,-1.3198,-1.02%,24465068
11/09/2021,129.3083,129.4039,128.9736,128.9927,0.3443,+0.27%,18900371
11/08/2021,128.811,128.8301,128.4763,128.6484,-0.2965,-0.23%,8881776
11/05/2021,128.4763,129.1075,128.3615,128.9449,0.9372,+0.73%,16563362
11/04/2021,127.4817,128.1836,127.4817,128.0077,0.6695,+0.53%,21054488
11/03/2021,127.7973,127.8977,127.1039,127.3382,-0.3252,-0.25%,12388435
11/02/2021,127.1756,127.7395,127.1756,127.6634,0.4878,+0.38%,18871299
11/01/2021,126.8218,127.2617,126.8218,127.1756,-0.2277,-0.18%,12437060
10/29/2021,126.9547,127.6276,126.8959,127.4033,-0.0668,-0.05%,18196183
10/28/2021,127.6228,127.7851,127.2219,127.4701,-0.1909,-0.15%,19397370
10/27/2021,127.451,127.9569,127.1764,127.661,0.7732,+0.61%,16687921
10/26/2021,126.6779,126.9069,126.3724,126.8878,0.544,+0.43%,10582370
10/25/2021,126.277,126.5967,126.2388,126.3438,0.0573,+0.05%,8598237
10/22/2021,126.0765,126.4106,125.9715,126.2865,0.5058,+0.40%,14390223
10/21/2021,125.9906,126.0478,125.6661,125.7807,-0.2672,-0.21%,13757302
10/20/2021,126.2865,126.4727,126.0193,126.0479,-0.3054,-0.24%,14468799
10/19/2021,126.7351,126.7829,126.3486,126.3533,-0.6968,-0.55%,12795630
10/18/2021,126.9451,127.2267,126.6683,127.0501,-0.105,-0.08%,12080154
10/15/2021,127.1456,127.2124,126.9451,127.1551,-0.4581,-0.36%,13757936
10/14/2021,127.241,127.6132,127.1551,127.6132,0.6013,+0.47%,16626850
