Date,Open,High,Low,Close,Adj Close,Volume
2023-03-10,73.480003,73.949997,73.169998,73.440002,73.107552,81516000
2023-03-13,73.190002,73.980003,72.830002,73.040001,72.709366,78478100
2023-03-14,73.690002,73.910004,73.269997,73.570000,73.236961,66395600
2023-03-15,72.809998,73.400002,72.610001,73.330002,72.998055,81454700
2023-03-16,73.129997,73.949997,73.019997,73.809998,73.475876,63386700
2023-03-17,73.440002,73.779999,73.239998,73.370003,73.037872,55132200
2023-03-20,73.230003,73.559998,73.070000,73.169998,72.838776,38540800
2023-03-21,73.650002,74.080002,73.500000,73.970001,73.635155,38203400
2023-03-22,73.980003,74.790001,73.709999,74.040001,73.704834,55263500
2023-03-23,74.029999,74.370003,73.519997,73.750000,73.416145,54660900
2023-03-24,73.449997,73.690002,73.389999,73.599998,73.266823,44225600
2023-03-27,73.750000,73.860001,73.419998,73.419998,73.087639,30905100
2023-03-28,73.279999,73.470001,73.139999,73.379997,73.047821,38277200
2023-03-29,73.650002,74.309998,73.650002,74.300003,73.963661,44457300
2023-03-30,74.470001,74.750000,74.269997,74.739998,74.401665,37130200
2023-03-31,74.970001,75.650002,74.949997,75.550003,75.208000,54213300
2023-04-03,75.139999,75.300003,74.970001,75.150002,75.150002,43302900
2023-04-04,75.150002,75.260002,74.849998,74.930000,74.930000,46144300
2023-04-05,74.879997,74.949997,74.419998,74.510002,74.510002,37633900
2023-04-06,74.389999,74.959999,74.290001,74.839996,74.839996,35719600
2023-04-10,74.580002,74.809998,74.410004,74.769997,74.769997,29083900
2023-04-11,74.769997,75.099998,74.709999,74.930000,74.930000,28875100
2023-04-12,75.309998,75.379997,74.849998,74.910004,74.910004,41457600
2023-04-13,75.040001,75.620003,75.040001,75.419998,75.419998,95864000
2023-04-14,75.400002,75.550003,75.080002,75.279999,75.279999,43759400
2023-04-17,75.070000,75.160004,74.809998,75.080002,75.080002,26391100
2023-04-18,75.260002,75.360001,74.980003,75.129997,75.129997,28030700
2023-04-19,74.830002,74.989998,74.779999,74.830002,74.830002,26979400
2023-04-20,74.650002,74.879997,74.550003,74.760002,74.760002,30203900
2023-04-21,74.879997,75.029999,74.690002,74.989998,74.989998,33061500
2023-04-24,75.029999,75.260002,74.949997,75.199997,75.199997,24627900
